                  625   1.3671875000000000E-002   1.1718750000000000E-002
                  630   1.9042968750000000E-002  -1.9531250000000000E-003
                  635   1.4160156250000000E-002   5.5664062500000000E-002
                  640   1.5625000000000000E-002   2.4414062500000000E-002
                  645   1.9531250000000000E-003   5.6640625000000000E-002
                  650   2.1972656250000000E-002   2.9296875000000000E-003
                  655   2.8808593750000000E-002   2.9296875000000000E-002
                  660   8.3007812500000000E-003   1.6601562500000000E-002
                  665   2.4414062500000000E-003   3.1250000000000000E-002
                  670   2.7832031250000000E-002   5.6640625000000000E-002
                  675   4.0527343750000000E-002   1.5625000000000000E-002
                  680   1.8554687500000000E-002   6.0546875000000000E-002
                  685   1.9042968750000000E-002   6.1523437500000000E-002
                  690   1.4648437500000000E-003   5.2734375000000000E-002
                  695   4.8828125000000000E-004   1.6601562500000000E-002
                  700   4.3945312500000000E-003   1.9531250000000000E-003
                  705   3.4667968750000000E-002   4.2968750000000000E-002
                  710   4.1015625000000000E-002   2.8320312500000000E-002
                  715   8.7890625000000000E-003   7.3242187500000000E-002
                  720   2.9296875000000000E-003   5.0781250000000000E-002
                  725   2.6367187500000000E-002   7.4218750000000000E-002
                  730   2.1484375000000000E-002   4.9804687500000000E-002
                  735   2.5878906250000000E-002   3.9062500000000000E-002
                  740   3.0273437500000000E-002   4.2968750000000000E-002
                  745   3.0273437500000000E-002   2.4414062500000000E-002
                  750   4.1503906250000000E-002   2.1484375000000000E-002
                  755   5.3710937500000000E-003   3.4179687500000000E-002
                  760   2.6855468750000000E-002   1.1718750000000000E-002
                  765   1.7578125000000000E-002  -3.9062500000000000E-003
                  770   2.0019531250000000E-002   3.7109375000000000E-002
                  775   1.2695312500000000E-002   3.5156250000000000E-002
                  780   1.2207031250000000E-002   8.1054687500000000E-002
                  785   3.4179687500000000E-003   6.9335937500000000E-002
                  790   2.0507812500000000E-002   8.2031250000000000E-002
                  795   1.0742187500000000E-002   6.8359375000000000E-002
                  800   7.3242187500000000E-003   6.4453125000000000E-002
                  805   4.8828125000000000E-003   4.7851562500000000E-002
                  810   1.7578125000000000E-002   7.8125000000000000E-003
                  815   9.2773437500000000E-003   5.8593750000000000E-003
                  820   1.4160156250000000E-002   1.7578125000000000E-002
                  825   2.8320312500000000E-002   4.2968750000000000E-002
                  830   2.0019531250000000E-002   5.5664062500000000E-002
                  835   1.5625000000000000E-002   2.5390625000000000E-002
                  840   7.8125000000000000E-003   1.8554687500000000E-002
                  845   7.8125000000000000E-003   5.1757812500000000E-002
                  850   2.3437500000000000E-002  0.10253906250000000     
                  855   4.2480468750000000E-002   1.9531250000000000E-002
                  860   1.7578125000000000E-002   5.5664062500000000E-002
                  865   9.7656250000000000E-003   6.6406250000000000E-002
                  870   4.8828125000000000E-003   5.5664062500000000E-002
                  875   1.8066406250000000E-002  -1.9531250000000000E-003
                  880   1.1230468750000000E-002   6.8359375000000000E-003
                  885   2.8808593750000000E-002   6.2500000000000000E-002
                  890   1.7578125000000000E-002   3.3203125000000000E-002
                  895   4.8828125000000000E-003   3.5156250000000000E-002
                  900   8.7890625000000000E-003   2.6367187500000000E-002
                  905   9.2773437500000000E-003   3.7109375000000000E-002
                  910   7.8125000000000000E-003   4.0039062500000000E-002
                  915   1.1230468750000000E-002   2.0507812500000000E-002
                  920   1.9042968750000000E-002   3.8085937500000000E-002
                  925   1.4648437500000000E-003   5.2734375000000000E-002
                  930   9.7656250000000000E-004  -1.1718750000000000E-002
                  935   6.3476562500000000E-003   9.7656250000000000E-003
                  940   1.7578125000000000E-002   4.2968750000000000E-002
                  945   1.5136718750000000E-002   1.7578125000000000E-002
                  950   9.7656250000000000E-004   2.4414062500000000E-002
                  955   1.8554687500000000E-002   3.7109375000000000E-002
                  960   1.0253906250000000E-002   3.1250000000000000E-002
                  965   3.2226562500000000E-002   3.7109375000000000E-002
                  970   1.1718750000000000E-002   5.3710937500000000E-002
                  975   1.1718750000000000E-002   2.3437500000000000E-002
                  980   1.9531250000000000E-002   5.2734375000000000E-002
                  985   1.0253906250000000E-002   5.0781250000000000E-002
                  990   1.4648437500000000E-003   7.1289062500000000E-002
                  995   2.7343750000000000E-002   0.0000000000000000     
                 1000   4.8828125000000000E-004   7.9589843750000000E-002
