 # THETA1, THETA2.
 -0.31236089643272669      -0.22618007583216429     
 -0.31447201499816579      -0.19594516491909864     
 -0.31627979973110865      -0.16552751193392304     
 -0.31778256523684423      -0.13495557584847775     
 -0.31897891124807820      -0.10425791374850307     
 -0.31986772351181431       -7.3463162135680257E-002
 -0.32044817449079183       -4.2600018507210936E-002
 -0.32071972388195857       -1.1697223152598085E-002
 -0.32068211895384380        1.9216458895061822E-002
 -0.32033539470405731        5.0112255817633115E-002
 -0.31967987383749114        8.0961406945669348E-002
 -0.31871616656514395       0.11173518073291000     
 -0.31744517022283297       0.14240489283670185     
 -0.31586806870840994       0.17294192436836087     
 -0.31398633173546575       0.20331774037565514     
 -0.31180171390089684       0.23350390861707104     
 -0.30931625356312431       0.26347211868433790     
 -0.30653227152721008       0.29319420152585346     
 -0.30345236953260729       0.32264214941919594     
 -0.30007942853882619       0.35178813643586049     
 -0.29641660680389009       0.38060453943574823     
 -0.29246733775011124       0.40906395962280684     
 -0.28823532761143394       0.43713924468661208     
 -0.28372455285637899       0.46480351154763966     
 -0.27893925738048114       0.49203016971655261     
 -0.27388394946204792       0.51879294527008113     
 -0.26856339847507954       0.54506590543805444     
 -0.26298263135328687       0.57082348378792214     
 -0.25714692879932111       0.59604050598473979     
 -0.25106182123359205       0.62069221609615999     
 -0.24473308447739789       0.64475430340353657     
 -0.23816673516552131       0.66820292967188932     
 -0.23136902588396011       0.69101475682326385     
 -0.22434644002905604       0.71316697495003201     
 -0.21710568638495947       0.73463733059698844     
 -0.20965369341711629       0.75540415523378590     
 -0.20199760328028377       0.77544639383238578     
 -0.19414476554046858       0.79474363345785870     
 -0.18610273061112662       0.81327613177511970     
 -0.17787924290496621       0.83102484536908916     
 -0.16948223370374485       0.84797145777140026     
 -0.16091981374953820       0.86409840708317576     
 -0.15220026556208133       0.87938891308062883     
 -0.14333203548792564       0.89382700368834433     
 -0.13432372548831445       0.90739754070410494     
 -0.12518408467384354       0.92008624465906907     
 -0.11592200059513307       0.93187971869800190     
 -0.10654649029988350       0.94276547136612177     
  -9.7066691167810637E-002  0.95273193819194368     
  -8.7491851536044635E-002  0.96176850195927677     
  -7.7831321128625106E-002  0.96986551156624012     
  -6.8094541304719827E-002  0.97701429937476969     
  -5.8291035141129710E-002  0.98320719696056169     
  -4.8430397365508596E-002  0.98843754918068216     
  -3.8522284157516067E-002  0.99269972648410920     
  -2.8576402835826412E-002  0.99598913539919631     
  -1.8602501449532141E-002  0.99830222714137762     
  -8.6103582929988615E-003  0.99963650429429385     
   1.3902286363537356E-003  0.99999052552781020     
   1.1389452217557343E-002  0.99936390832703537     
   2.1377506802894443E-002  0.99775732971732867     
   3.1344598811903913E-002  0.99517252498130182     
   4.1280957302520474E-002  0.99161228437488069     
   5.1176844499401526E-002  0.98708044786048255     
   6.1022566259730127E-002  0.98158189788618599     
   7.0808482457125246E-002  0.97512255025032146     
   8.0525017264736556E-002  0.96770934310109202     
   9.0162669319147085E-002  0.95935022413055515     
   9.9712021747347654E-002  0.95005413603146560     
  0.10916375203977639       0.93983100029401856     
  0.11850864175322802       0.92869169942736773     
  0.12773758602832375       0.91664805769785596     
  0.13684160290718514       0.90371282048213253     
  0.14581184243796638       0.88989963233869407     
  0.15463959555395901       0.87522301390583646     
  0.16331630271608311       0.85969833773751547     
  0.17183356230870930       0.84334180319116880     
  0.18018313877990647       0.82617041048314266     
  0.18835697051837214       0.80820193402799478     
  0.19634717746046634       0.78945489517762746     
  0.20414606842192468       0.76994853447495537     
  0.21174614814996545       0.74970278353466913     
  0.21914012409261807       0.72873823666065329     
  0.22632091288317852       0.70707612230579842     
  0.23328164653873404       0.68473827447536950     
  0.24001567837268592       0.66174710416981142     
  0.24651658862213027       0.63812557095694933     
  0.25277818979182493       0.61389715475704920     
  0.25879453171727129       0.58908582791720365     
  0.26455990635016902       0.56371602764408502     
  0.27006885227015298       0.53781262885632564     
  0.27531615892729550       0.51140091750972649     
  0.28029687062034747       0.48450656444023510     
  0.28500629021610019       0.45715559976124442     
  0.28943998261557236       0.42937438784332294     
  0.29359377797296665       0.40118960289606725     
  0.29746377467349372       0.37262820516343681     
  0.30104634207623537       0.34371741773575887     
  0.30433812302820890       0.31448470397364348     
  0.30733603615570826       0.28495774553138375     
  0.31003727793883656       0.25516442096009478     
  0.31243932457491014       0.22513278486391908     
  0.31453993363611493       0.19489104757614492     
  0.31633714552643305       0.16446755531609650     
  0.31782928474243688       0.13389077078219694     
  0.31901496094207699       0.10318925413171859     
  0.31989306982507126        7.2391644293448992E-002
  0.32046279382794596        4.1526640555845526E-002
  0.32072360263618815        1.0622984370248721E-002
  0.32067525351535092       -2.0290558693605784E-002
  0.32031779146231604       -5.1185216904179695E-002
  0.31965154917726735       -8.2032230302177558E-002
  0.31867714685627252      -0.11280286867763631     
  0.31739549180371462      -0.14346844965518704     
  0.31580777786316877      -0.17400035695145291     
  0.31391548466468555      -0.20437005886668766     
  0.31172037668583497      -0.23454912707021691     
  0.30922450212328118      -0.26450925573603534     
  0.30643019157111423      -0.29422228108105736     
  0.30334005650166002      -0.32366020135404161     
  0.29995698754403338      -0.35279519731814096     
  0.29628415255529716      -0.38159965326440187     
  0.29232499447874533      -0.41004617858739029     
  0.28808322898354938      -0.43810762994749608     
  0.28356284187979541      -0.46575713403741242     
  0.27876808630280109      -0.49296811096285242     
  0.27370347966053832      -0.51971429823980486     
  0.26837380033800495      -0.54596977540260649     
  0.26278408415248616      -0.57170898920887847     
  0.25693962055382735      -0.59690677941901060     
  0.25084594856410591      -0.62153840511944103     
  0.24450885245143852      -0.64557957155054646     
  0.23793435713309499      -0.66900645739160214     
  0.23112872330360648      -0.69179574244706421     
  0.22409844228415371      -0.71392463567044728     
  0.21685023059019753      -0.73537090345439260     
  0.20939102421506586      -0.75611289810822169     
  0.20172797262803310      -0.77612958643742314     
  0.19386843248631738      -0.79540057833319711     
  0.18581996106136914      -0.81390615527445354     
  0.17759030938082829      -0.83162729863959151     
  0.16918741508857729      -0.84854571772104104     
  0.16061939502640746      -0.86464387733198045     
  0.15189453754193769      -0.87990502489190370     
  0.14302129452856940      -0.89431321687584364     
  0.13400827320442082      -0.90785334451109767     
  0.12486422763834745      -0.92051115860527799     
  0.11559805003231527      -0.93227329339043596     
  0.10621876177053874      -0.94312728926990586     
   9.6735504246917153E-002 -0.95306161435736325     
   8.7157529483391477E-002 -0.96206568470140441     
   7.7494190552889072E-002 -0.97012988309368986     
   6.7754931821517678E-002 -0.97724557636433695     
   5.7949279025602332E-002 -0.98340513107474581     
   4.8086829200022760E-002 -0.98860192752535525     
   3.8177240475095221E-002 -0.99283037200388735     
   2.8230221759945009E-002 -0.99608590720838375     
   1.8255522330927546E-002 -0.99836502078868938     
   8.2629213441712222E-003 -0.99966525195991163     
  -1.7377827082706871E-003 -0.99998519615169223     
  -1.1736782578862624E-002 -0.99932450766777492     
  -2.1724272861626186E-002 -0.99768390034123688     
  -3.1690460585687363E-002 -0.99506514618177566     
  -4.1625575785261701E-002 -0.99147107202249896     
  -5.1519882026137345E-002 -0.98690555418465364     
  -6.1363686868954777E-002 -0.98137351118954264     
  -7.1147352249928200E-002 -0.97488089455741755     
  -8.0861304760103128E-002 -0.96743467774330383     
  -9.0496045804794270E-002 -0.95904284326941636     
 -0.10004216162549145      -0.94971436812297416     
 -0.10949033316725376      -0.93945920749673784     
 -0.11883134577542621      -0.92828827695740268     
 -0.12805609870640181      -0.91621343313401638     
 -0.13715561443810653      -0.90324745302479637     
 -0.14612104776689774      -0.88940401202605457     
 -0.15494369467862765      -0.87469766079135380     
 -0.16361500098272483      -0.85914380103249910     
 -0.17212657069927761      -0.84275866037648828     
 -0.18047017419025457      -0.82555926639410215     
 -0.18863775602715965      -0.80756341991641156     
 -0.19662144258858280      -0.78878966775512638     
 -0.20441354938226217      -0.76925727494143192     
 -0.21200658808741144      -0.74898619659578414     
 -0.21939327331417785      -0.72799704953810140     
 -0.22656652907817346      -0.70631108374394713     
